username,email,country,fname,lname,join_date
clleung,clleung@andrew.cmu.edu,USA,Lisa,Leung,2019-01-22
iya,iya@andrew.cmu.edu,USA,Isaac,Ahn,2018-09-24
abc,abc@andrew.cmu.edu,Canada,abra,cadabra,2020-12-03
mfree,mfree@andrew.cmu.edu,USA,Morgan,Freeman,2018-07-31
jgreen,jgreen@andrew.cmu.edu,Canada,Jon,Greene,2010-04-24
dp,dp@andrew.cmu.edu,USA,David,Perrier,2016-08-10
mstar,mstar@andrew.cmu.edu,USA,Matthew,Star,2019-03-23
clleung,clleung@andrew.cmu.edu,USA,Lisa,Leung,2019-01-22
iya,iya@andrew.cmu.edu,USA,Isaac,Ahn,2018-09-24
abc,abc@andrew.cmu.edu,Canada,abra,cadabra,2020-12-03
mfree,mfree@andrew.cmu.edu,USA,Morgan,Freeman,2018-07-31
jgreen,jgreen@andrew.cmu.edu,Canada,Jon,Greene,2010-04-24
dp,dp@andrew.cmu.edu,USA,David,Perrier,2016-08-10
mstar,mstar@andrew.cmu.edu,USA,Matthew,Star,2019-03-23
madd,mstar@andrew.cmu.edu,USA,Marvin,Dude,2019-03-23
